"REF_DATE","GEO","DGUID","Indicator","Industry","Authority","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","New Brunswick","2016A000213","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808925","6.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808926","6.2.2.2.0.0.0.0.0.0","1","","","","0"
"1961","New Brunswick","2016A000213","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808961","6.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808962","6.3.1.2.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808997","6.3.2.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808998","6.3.2.2.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809033","6.4.1.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809034","6.4.1.2.0.0.0.0.0.0","1","","","","0"
"1961","New Brunswick","2016A000213","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809069","6.4.2.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809070","6.4.2.2.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809105","6.5.1.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809106","6.5.1.2.0.0.0.0.0.0","1","","","","0"
"1961","New Brunswick","2016A000213","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809141","6.5.2.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809142","6.5.2.2.0.0.0.0.0.0","1","","","","0"
"1961","Quebec","2016A000224","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808819","7.1.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808820","7.1.1.2.0.0.0.0.0.0","23","","","","0"
"1961","Quebec","2016A000224","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808855","7.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808856","7.1.2.2.0.0.0.0.0.0","9","","","","0"
"1961","Quebec","2016A000224","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808891","7.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808892","7.2.1.2.0.0.0.0.0.0","22","","","","0"
"1961","Quebec","2016A000224","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808927","7.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808928","7.2.2.2.0.0.0.0.0.0","9","","","","0"
"1961","Quebec","2016A000224","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808963","7.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808964","7.3.1.2.0.0.0.0.0.0","1","","","","0"
"1961","Quebec","2016A000224","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808999","7.3.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809000","7.3.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809035","7.4.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809036","7.4.1.2.0.0.0.0.0.0","7","","","","0"
"1961","Quebec","2016A000224","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809071","7.4.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Quebec","2016A000224","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809072","7.4.2.2.0.0.0.0.0.0","2","","","","0"
"1961","Quebec","2016A000224","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809107","7.5.1.1.0.0.0.0.0.0","0","","","","0"
